name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Eel,Eurasia,Animalia,Chordata,Actinopterygii,Anguilliformes,Unknown,Unknown,Unknown,"Smaller fish, invertebrates, crustaceans, shrimp, crabs, sea urchins",Unknown,Solitary/Group,Unknown,Human consumption of freshwater eels,Snakelike appearance,Unknown,Unknown,"Ocean, river, freshwater",Carnivore,Unknown,Unknown,Eel,800.0,Unknown,Unknown,Unknown,GreyBlackMulti-colored,Smooth,20 mph,30-70 years,30g (1.1oz)-25kg (55lbs),5cm (2.0in)-4m (13ft),Unknown,Unknown,Unknown,"Larger eels, larger fish, fish-eating birds, and (for freshwater eels) humans","Anguilliform, Actinopterygii, Teleost",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,202
Eel,Europe,Animalia,Chordata,Actinopterygii,Anguilliformes,Unknown,Unknown,Unknown,"Smaller fish, invertebrates, crustaceans, shrimp, crabs, sea urchins",Unknown,Solitary/Group,Unknown,Human consumption of freshwater eels,Snakelike appearance,Unknown,Unknown,"Ocean, river, freshwater",Carnivore,Unknown,Unknown,Eel,800.0,Unknown,Unknown,Unknown,GreyBlackMulti-colored,Smooth,20 mph,30-70 years,30g (1.1oz)-25kg (55lbs),5cm (2.0in)-4m (13ft),Unknown,Unknown,Unknown,"Larger eels, larger fish, fish-eating birds, and (for freshwater eels) humans","Anguilliform, Actinopterygii, Teleost",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,202
Eel,North-America,Animalia,Chordata,Actinopterygii,Anguilliformes,Unknown,Unknown,Unknown,"Smaller fish, invertebrates, crustaceans, shrimp, crabs, sea urchins",Unknown,Solitary/Group,Unknown,Human consumption of freshwater eels,Snakelike appearance,Unknown,Unknown,"Ocean, river, freshwater",Carnivore,Unknown,Unknown,Eel,800.0,Unknown,Unknown,Unknown,GreyBlackMulti-colored,Smooth,20 mph,30-70 years,30g (1.1oz)-25kg (55lbs),5cm (2.0in)-4m (13ft),Unknown,Unknown,Unknown,"Larger eels, larger fish, fish-eating birds, and (for freshwater eels) humans","Anguilliform, Actinopterygii, Teleost",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,202
Eel,Ocean,Animalia,Chordata,Actinopterygii,Anguilliformes,Unknown,Unknown,Unknown,"Smaller fish, invertebrates, crustaceans, shrimp, crabs, sea urchins",Unknown,Solitary/Group,Unknown,Human consumption of freshwater eels,Snakelike appearance,Unknown,Unknown,"Ocean, river, freshwater",Carnivore,Unknown,Unknown,Eel,800.0,Unknown,Unknown,Unknown,GreyBlackMulti-colored,Smooth,20 mph,30-70 years,30g (1.1oz)-25kg (55lbs),5cm (2.0in)-4m (13ft),Unknown,Unknown,Unknown,"Larger eels, larger fish, fish-eating birds, and (for freshwater eels) humans","Anguilliform, Actinopterygii, Teleost",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,202
Eel,Oceania,Animalia,Chordata,Actinopterygii,Anguilliformes,Unknown,Unknown,Unknown,"Smaller fish, invertebrates, crustaceans, shrimp, crabs, sea urchins",Unknown,Solitary/Group,Unknown,Human consumption of freshwater eels,Snakelike appearance,Unknown,Unknown,"Ocean, river, freshwater",Carnivore,Unknown,Unknown,Eel,800.0,Unknown,Unknown,Unknown,GreyBlackMulti-colored,Smooth,20 mph,30-70 years,30g (1.1oz)-25kg (55lbs),5cm (2.0in)-4m (13ft),Unknown,Unknown,Unknown,"Larger eels, larger fish, fish-eating birds, and (for freshwater eels) humans","Anguilliform, Actinopterygii, Teleost",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,202
Eel,South-America,Animalia,Chordata,Actinopterygii,Anguilliformes,Unknown,Unknown,Unknown,"Smaller fish, invertebrates, crustaceans, shrimp, crabs, sea urchins",Unknown,Solitary/Group,Unknown,Human consumption of freshwater eels,Snakelike appearance,Unknown,Unknown,"Ocean, river, freshwater",Carnivore,Unknown,Unknown,Eel,800.0,Unknown,Unknown,Unknown,GreyBlackMulti-colored,Smooth,20 mph,30-70 years,30g (1.1oz)-25kg (55lbs),5cm (2.0in)-4m (13ft),Unknown,Unknown,Unknown,"Larger eels, larger fish, fish-eating birds, and (for freshwater eels) humans","Anguilliform, Actinopterygii, Teleost",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,202
Electric Catfish,Africa,Animalia,Chordata,Actinopterygii,Siluriformes,Malapteruridae,Unknown,Unknown,"Fish, invertebrates, and eggs",Unknown,Solitary,Unknown,None,The three pairs of barbells on the face,None,Unknown,African rivers and lakes,Carnivore,Unknown,Unknown,Electric Catfish,21.0,Unknown,Unknown,Unknown,BrownGreyRedWhiteCream,Skin,Unknown,Average of 10 years,4.4kg (2lbs),Up to 1.2m (4ft),Unknown,Unknown,Unknown,Larger fish,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,7.0 – 8.0,Unknown,Unknown,1,0,0,Unknown,60
Electric Eel,South-America,Animalia,Chordata,Actinopterygii,Gymnotiformes,Gymnotidae,Electrophorus,Electrophorus Electricus,"Fish, insects, small vertebrates, crustaceans",Unknown,Unknown,Unknown,Humans,Slimy mucus with three organs to generate current.,"Arimna (Venezuela), “numb eel” (Europe)",Unknown,Murky water,Carnivore,Unknown,Unknown,Electric eel,3.0,Unknown,Unknown,Unknown,BrownGreyYellowOrange,Skin,5 mph,"Unknown in wild, 10-22 years in captivity",45+ lbs.,Up to 8+ feet,Unknown,Unknown,Unknown,None,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,20.25,Unknown
Escolar,Ocean,Animalia,Chordata,Actinopterygii,Scombriformes,Gempylidae,Lepidocybium,Lepidocybium flavobrunneum,"Other fish, squid, cuttlefish, crustaceans",Unknown,Solitary,unknown,Being caught as by-catch by tuna fisheries,Sideways keel on the tail,"White tuna, butterfish, ex-lax fish, skolier, black oilfish, tuna minyak, snake mackerel, waloo",Unknown,Temperate and tropical oceans save the northern Indian Ocean,Carnivore,Unknown,Unknown,Escolar,1.0,Unknown,Unknown,Unknown,BrownGreyBlack,Scales,Unknown,11 years,Unknown,7 feet,Unknown,Unknown,Unknown,"Humans, yellowfin tuna",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,6.0-8.0,Unknown,Unknown,1,0,0,Unknown,Unknown
Fangtooth,Ocean,Animalia,Chordata,Actinopterygii,Beryciformes,Anoplogastridae,Anoplogaster,Anoplogaster,"Scallops, coral",Unknown,Solitary/Group,Unknown,"Tuna, marlin, small sharks",Protruding jaw and fangs,Common fangtooth,Unknown,Deep ocean,Carnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BrownGreyYellowBlack,Scales,Unknown,Unknown,75lbs,1.05m - 2.20m (3.4ft - 7.3ft),Unknown,Unknown,Unknown,Unknown,Beryciform,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saltwater,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,33,160
Fiddler Crab,Africa,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Unknown,Unknown,"Dead, decaying plants and animals, bacteria, algae, and fungus",Unknown,Colony,Unknown,Habitat loss,Enlarged claw on the male,Unknown,2 weeks,Sandy beaches and salt or brackish water,Omnivore,Unknown,Unknown,"Fiddler crab, Calling crab",106.0,Unknown,Unknown,Unknown,BrownGreyYellowBlueBlackPurple,Exoskeleton,Unknown,1 1/2 years,1.8 grams,"2"" or less",Unknown,Unknown,Unknown,"Egrets, herons, raccoons",Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,7.2 to 8.2,Unknown,Unknown,1,0,0,0.0018,5
Fiddler Crab,Asia,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Unknown,Unknown,"Dead, decaying plants and animals, bacteria, algae, and fungus",Unknown,Colony,Unknown,Habitat loss,Enlarged claw on the male,Unknown,2 weeks,Sandy beaches and salt or brackish water,Omnivore,Unknown,Unknown,"Fiddler crab, Calling crab",106.0,Unknown,Unknown,Unknown,BrownGreyYellowBlueBlackPurple,Exoskeleton,Unknown,1 1/2 years,1.8 grams,"2"" or less",Unknown,Unknown,Unknown,"Egrets, herons, raccoons",Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,7.2 to 8.2,Unknown,Unknown,1,0,0,0.0018,5
Fiddler Crab,Central-America,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Unknown,Unknown,"Dead, decaying plants and animals, bacteria, algae, and fungus",Unknown,Colony,Unknown,Habitat loss,Enlarged claw on the male,Unknown,2 weeks,Sandy beaches and salt or brackish water,Omnivore,Unknown,Unknown,"Fiddler crab, Calling crab",106.0,Unknown,Unknown,Unknown,BrownGreyYellowBlueBlackPurple,Exoskeleton,Unknown,1 1/2 years,1.8 grams,"2"" or less",Unknown,Unknown,Unknown,"Egrets, herons, raccoons",Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,7.2 to 8.2,Unknown,Unknown,1,0,0,0.0018,5
Fiddler Crab,Europe,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Unknown,Unknown,"Dead, decaying plants and animals, bacteria, algae, and fungus",Unknown,Colony,Unknown,Habitat loss,Enlarged claw on the male,Unknown,2 weeks,Sandy beaches and salt or brackish water,Omnivore,Unknown,Unknown,"Fiddler crab, Calling crab",106.0,Unknown,Unknown,Unknown,BrownGreyYellowBlueBlackPurple,Exoskeleton,Unknown,1 1/2 years,1.8 grams,"2"" or less",Unknown,Unknown,Unknown,"Egrets, herons, raccoons",Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,7.2 to 8.2,Unknown,Unknown,1,0,0,0.0018,5
Fiddler Crab,North-America,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Unknown,Unknown,"Dead, decaying plants and animals, bacteria, algae, and fungus",Unknown,Colony,Unknown,Habitat loss,Enlarged claw on the male,Unknown,2 weeks,Sandy beaches and salt or brackish water,Omnivore,Unknown,Unknown,"Fiddler crab, Calling crab",106.0,Unknown,Unknown,Unknown,BrownGreyYellowBlueBlackPurple,Exoskeleton,Unknown,1 1/2 years,1.8 grams,"2"" or less",Unknown,Unknown,Unknown,"Egrets, herons, raccoons",Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,7.2 to 8.2,Unknown,Unknown,1,0,0,0.0018,5
Fiddler Crab,Oceania,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Unknown,Unknown,"Dead, decaying plants and animals, bacteria, algae, and fungus",Unknown,Colony,Unknown,Habitat loss,Enlarged claw on the male,Unknown,2 weeks,Sandy beaches and salt or brackish water,Omnivore,Unknown,Unknown,"Fiddler crab, Calling crab",106.0,Unknown,Unknown,Unknown,BrownGreyYellowBlueBlackPurple,Exoskeleton,Unknown,1 1/2 years,1.8 grams,"2"" or less",Unknown,Unknown,Unknown,"Egrets, herons, raccoons",Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,7.2 to 8.2,Unknown,Unknown,1,0,0,0.0018,5
Fiddler Crab,South-America,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Unknown,Unknown,"Dead, decaying plants and animals, bacteria, algae, and fungus",Unknown,Colony,Unknown,Habitat loss,Enlarged claw on the male,Unknown,2 weeks,Sandy beaches and salt or brackish water,Omnivore,Unknown,Unknown,"Fiddler crab, Calling crab",106.0,Unknown,Unknown,Unknown,BrownGreyYellowBlueBlackPurple,Exoskeleton,Unknown,1 1/2 years,1.8 grams,"2"" or less",Unknown,Unknown,Unknown,"Egrets, herons, raccoons",Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,7.2 to 8.2,Unknown,Unknown,1,0,0,0.0018,5
Fire Eel,Asia,Animalia,Chordata,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus,Mastacembelus erythrotaenia,"bloodworms, shrimp, invertebrates, small fish",Unknown,Unknown,Unknown,Overfishing,Bright red stripes and snake-like appearance.,Unknown,A few days,"rivers, lakes",Omnivore,Unknown,Unknown,Fire Eel,Unkown,Unknown,Unknown,Unknown,BrownGreyRedOrange,Scales,Unknown,10 - 20 years (captive vs wild),Unknown,20 - 40 inches (captive vs wild),Unknown,Unknown,Unknown,Unknown,Fish,4 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6.8 - 7.6,Unknown,Unknown,1,0,0,Unknown,75
Florida Gar,North-America,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus platyrhincus,Unknown,Unknown,School,Unknown,Habitat loss,Sharp teeth,Garpike,A few days,"Rivers, lakes, canals, and wetlands",Carnivore,Unknown,Unknown,Florida Gar,1.0,Unknown,Unknown,Unknown,BrownBlackWhiteGreen,Unknown,Unknown,Unknown,Up to 10lbs,Up to 1.3m (52in),Unknown,Unknown,Unknown,"Humans, alligators, and birds",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, shrimp, and crayfish",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,4.5,65
Flounder,Ocean,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys,"Shrimp, crabs, and other fish",Unknown,Solitary,Perhaps some 30 million,Overfishing,The flat body,Flatfish,A few weeks,"Coastal waters near docks, bridges, or reefs",Carnivore,Unknown,Unknown,Flounder,Unkown,Unknown,A flat fish found in the Atlantic and Pacific!,Unknown,BrownBlueWhiteTanGreenOrange,Scales,Unknown,Three to 10 years on average,Up to 22 pounds,Up to 37 inches,Unknown,Unknown,Unknown,"Sharks, eels, and humans",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Small Fish,Unknown,Unknown,6.5 - 8.0,Unknown,Unknown,1,0,0,4.95,Unknown
Flowerhorn Fish,Asia,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Unknown,Unknown,"Shrimp, worms, insects, and plant matter",Larvae and fry,Solitary,Unknown,None,The bulbous skin on the forehead,Flowerhorn Cichlid,1 - 2 weeks,Freshwater,Omnivore,Unknown,Unknown,Flowerhorn Fish,1.0,Worldwide,Unknown,Unknown,RedBlueBlackWhiteGreenOrange,Scales,Unknown,Up to 12 years,About 0.5kg (1lb),Up to 40cm (16in),Up to a year,A few days,Unknown,Larger fish,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Up to 1,000 at a time",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,20
Flowerhorn Fish,North-America,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Unknown,Unknown,"Shrimp, worms, insects, and plant matter",Larvae and fry,Solitary,Unknown,None,The bulbous skin on the forehead,Flowerhorn Cichlid,1 - 2 weeks,Freshwater,Omnivore,Unknown,Unknown,Flowerhorn Fish,1.0,Worldwide,Unknown,Unknown,RedBlueBlackWhiteGreenOrange,Scales,Unknown,Up to 12 years,About 0.5kg (1lb),Up to 40cm (16in),Up to a year,A few days,Unknown,Larger fish,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Up to 1,000 at a time",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,20
Fluke Fish (summer flounder),Ocean,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys dentatus,"Crabs, squid, shrimp, forage fish such as anchovies, and even smaller flounders!",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Near shore during summers and offshore during fall and winter,Omnivore,Unknown,Unknown,Fluke and Summer Flounders,Unkown,Off the U.S. and Canadian Atlantic Coast,The chameleon of the seas!,Flatfish,Brown,Hair,Unknown,Up to 14 years,Rarely exceeds 20 pounds,Females grow up to 3 feet,No later than 3 years,Unknown,Unknown,"Monkfish, sharks, rays",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Up to 4 million,Unknown,Unknown,Unknown,Unknown,Can change color and texture like a chameleon!,Unknown,1,0,0,9,45
Flying Fish,Ocean,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Unknown,Unknown,"Plankton, crustaceans, and fish",Unknown,School,Unknown,Overfishing,Wing-like fins,Flying cod,Varies,Oceans,Omnivore,Unknown,Unknown,Flying fish,40.0,Unknown,Unknown,Unknown,BlueBlackWhiteSilver,Scales,35 mph,5 years on average,Up to 2lbs,15cm – 51cm (6in – 20in),Unknown,Unknown,Unknown,"Marlins, tuna, squid, porpoises, birds, and humans",Ray fin fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,4.7,33
Football Fish,Ocean,Animalia,Chordata,Actinopterygii,Lophiiformes,Himantolophidae,Himantolophus,Unknown,"Fish, crustaceans, and squid",Unknown,Solitary,Unknown,Climate change,The glowing lure on the female’s head,None,Unknown,"Pacific, Atlantic, and Indian Oceans",Carnivore,Unknown,Unknown,Football Fish,22.0,Unknown,Unknown,Unknown,BrownBlack,Scales,Unknown,Possibly up to 30 years,Up to 11kg (24lbs),2.5 – 61cm (1 – 24in),Unknown,Unknown,Unknown,"Whales, sharks, and other football fish",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,Unknown
Freshwater Eel,Africa,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,"Shrimp, crabs, lobsters, octopus, worms, frogs, mussels, clams, oysters, snails, sea slugs, lizards and other small fish",Unknown,SolitaryTerritorial,unknown,"Overfishing, parasites, obstructions, ocean drift changes",Snake-like body,Unknown,1-2 weeks,"Rivers, streams, and other freshwater areas, except for the Pacific coast of the Americas and the South Atlantic coasts",Carnivore,Unknown,Unknown,eel,19.0,Unknown,Unknown,Unknown,BrownYellowOlive,Unknown,2.4 mph,5-70 years,2.5 lbs,16-33 inches,Unknown,Unknown,Unknown,"Eagles, osprey, herons, cormorants, raccoons, and humans",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6.5-7.5,Unknown,Unknown,1,0,0,1.125,61.25
Freshwater Eel,Asia,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,"Shrimp, crabs, lobsters, octopus, worms, frogs, mussels, clams, oysters, snails, sea slugs, lizards and other small fish",Unknown,SolitaryTerritorial,unknown,"Overfishing, parasites, obstructions, ocean drift changes",Snake-like body,Unknown,1-2 weeks,"Rivers, streams, and other freshwater areas, except for the Pacific coast of the Americas and the South Atlantic coasts",Carnivore,Unknown,Unknown,eel,19.0,Unknown,Unknown,Unknown,BrownYellowOlive,Unknown,2.4 mph,5-70 years,2.5 lbs,16-33 inches,Unknown,Unknown,Unknown,"Eagles, osprey, herons, cormorants, raccoons, and humans",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6.5-7.5,Unknown,Unknown,1,0,0,1.125,61.25
Freshwater Eel,North-America,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,"Shrimp, crabs, lobsters, octopus, worms, frogs, mussels, clams, oysters, snails, sea slugs, lizards and other small fish",Unknown,SolitaryTerritorial,unknown,"Overfishing, parasites, obstructions, ocean drift changes",Snake-like body,Unknown,1-2 weeks,"Rivers, streams, and other freshwater areas, except for the Pacific coast of the Americas and the South Atlantic coasts",Carnivore,Unknown,Unknown,eel,19.0,Unknown,Unknown,Unknown,BrownYellowOlive,Unknown,2.4 mph,5-70 years,2.5 lbs,16-33 inches,Unknown,Unknown,Unknown,"Eagles, osprey, herons, cormorants, raccoons, and humans",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6.5-7.5,Unknown,Unknown,1,0,0,1.125,61.25
Freshwater Eel,Ocean,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,"Shrimp, crabs, lobsters, octopus, worms, frogs, mussels, clams, oysters, snails, sea slugs, lizards and other small fish",Unknown,SolitaryTerritorial,unknown,"Overfishing, parasites, obstructions, ocean drift changes",Snake-like body,Unknown,1-2 weeks,"Rivers, streams, and other freshwater areas, except for the Pacific coast of the Americas and the South Atlantic coasts",Carnivore,Unknown,Unknown,eel,19.0,Unknown,Unknown,Unknown,BrownYellowOlive,Unknown,2.4 mph,5-70 years,2.5 lbs,16-33 inches,Unknown,Unknown,Unknown,"Eagles, osprey, herons, cormorants, raccoons, and humans",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6.5-7.5,Unknown,Unknown,1,0,0,1.125,61.25
Freshwater Eel,South-America,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,"Shrimp, crabs, lobsters, octopus, worms, frogs, mussels, clams, oysters, snails, sea slugs, lizards and other small fish",Unknown,SolitaryTerritorial,unknown,"Overfishing, parasites, obstructions, ocean drift changes",Snake-like body,Unknown,1-2 weeks,"Rivers, streams, and other freshwater areas, except for the Pacific coast of the Americas and the South Atlantic coasts",Carnivore,Unknown,Unknown,eel,19.0,Unknown,Unknown,Unknown,BrownYellowOlive,Unknown,2.4 mph,5-70 years,2.5 lbs,16-33 inches,Unknown,Unknown,Unknown,"Eagles, osprey, herons, cormorants, raccoons, and humans",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6.5-7.5,Unknown,Unknown,1,0,0,1.125,61.25
Freshwater Jellyfish,Africa,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbyi,Zooplankton,Unknown,Colony,Millions,None,Its resistance to drought,Peach blossom jellyfish,days to months,Unknown,Omnivore,Unknown,Unknown,freshwater jellyfishh,1.0,Unknown,Unknown,Unknown,WhiteGreen,Unknown,4.6 mph,1-2 years,0.11 to 0.18 ounces,0.196 to 1 inch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,1.4
Freshwater Jellyfish,Asia,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbyi,Zooplankton,Unknown,Colony,Millions,None,Its resistance to drought,Peach blossom jellyfish,days to months,Unknown,Omnivore,Unknown,Unknown,freshwater jellyfishh,1.0,Unknown,Unknown,Unknown,WhiteGreen,Unknown,4.6 mph,1-2 years,0.11 to 0.18 ounces,0.196 to 1 inch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,1.4
Freshwater Jellyfish,Central-America,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbyi,Zooplankton,Unknown,Colony,Millions,None,Its resistance to drought,Peach blossom jellyfish,days to months,Unknown,Omnivore,Unknown,Unknown,freshwater jellyfishh,1.0,Unknown,Unknown,Unknown,WhiteGreen,Unknown,4.6 mph,1-2 years,0.11 to 0.18 ounces,0.196 to 1 inch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,1.4
Freshwater Jellyfish,Europe,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbyi,Zooplankton,Unknown,Colony,Millions,None,Its resistance to drought,Peach blossom jellyfish,days to months,Unknown,Omnivore,Unknown,Unknown,freshwater jellyfishh,1.0,Unknown,Unknown,Unknown,WhiteGreen,Unknown,4.6 mph,1-2 years,0.11 to 0.18 ounces,0.196 to 1 inch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,1.4
