name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Ball Python,['Africa'],Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,P. regius,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,ball python,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,30 years,Unknown,6 feet,Unknown,Unknown,11 eggs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,2.0
Sand Lizard,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,Lacerta agilis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Grass and heathland,Carnivore,Unknown,Solitary,Unknown,Unkown,Unknown,Males turn green in spring!,Unknown,BrownBlackTanGreen,Scales,30 mph,5 - 8 years,10g - 15g (0.35oz - 0.5oz),13cm - 20cm (5in - 7.8in),Unknown,Unknown,Unknown,Unknown,Reptile,Unknown,Striped patterned body and forked tongue,Unknown,Unknown,Unknown,Unknown,Unknown,8.0,"Spiders, Insects, Grasshoppers",Unknown,Unknown,Unknown,Unknown,Spiders,Unknown,Unknown,0,1,0,,182.88
Red-Bellied Black Snake,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Pseudechis,Pseudechis porphyriacus,"Lizards, fish, frogs, and other snakes",Neonates or snakelets,Unknown,Unknown,"The cane toad, whose venom is toxic to red-bellied black snakes.","The top part of its body is a shiny solid black, while the underbelly is several shades of red","Common black snake, red-belly, RBBS, and several indigenous names, including ""djirrabidi""",Unknown,"Woodlands, grasslands, forests, swamps and other wetlands, streams, and shallow rivers",Carnivore,Unknown,Unknown,Red-Bellied Black Snake,1.0,Unknown,Unknown,Unknown,RedBlack,Scales,Unknown,"12 years in captivity, wild unknown",Unknown,4.5 - 6 feet,Unknown,Unknown,5 - 18 live young,Unknown,Unknown,Unknown,Female red-bellied black snakes have a different hinge mechanism in their jaw from males.,Mild,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,298.704
Zebra Snake,['Africa'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,Naja nigricincta,"rodents, birds, fish, eggs, other reptiles",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,10 - 20 eggs,Unknown,"western barred spitting cobra, zebra cobra, zebra snake",Unkown,Unknown,Unknown,Unknown,Black,Unknown,Unknown,12+ years,Unknown,4 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,298.704
Boiga,"['Asia', 'Oceania']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Boiga,Boiga,"Rodents, lizards",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,10 to 20,Unknown,Cat snake,Unkown,Unknown,Unknown,Unknown,BlackGold,Unknown,Unknown,12 to 15 years,Unknown,2 to 3 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,6.0,375.0
Burmese Python,['Asia'],Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python bivittatus,"Mice, rabbits, and chickens",Hatchlings,Solitary,"30,000 or more around the world.",Humans and alligators,These snakes have puzzle like patches all over the skin.,Unknown,2 to 3 months,Natives of jungles and grassy marshes of Southeast Asia,Carnivore,Unknown,Unknown,Burmese python,1.0,"Native to Asia and can be found from eastern India through Vietnam and southern China. Can also be found in the islands of Java, Bali, small parts of Sulawesi, Sumbawa, and Florida (United States).",Unknown,Unknown,BrownBlackTan,Scales,1 mph,Around 20 years,Up to 200 pounds,Up to 23 feet long,18 months to 4 years old,Unknown,100,Alligators and human beings,Reptiles (Snakes),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Mice, rabbits, and chickens",Unknown,Unknown,1,0,0,6.0,3.0
Eastern Indigo Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Drymarchon,Drymarchon couperi,"Arthropods, snakes, birds, lizards, rodents",Hatchlings,Unknown,Unknown,Habitat loss,Blue-black scales that are Iridescent purple in the light,"Gulf Coast Indigo Snake, Indigo Snake, Racer",Unknown,Unknown,Carnivore,Unknown,Diurnal,Unknown,Unkown,Southeastern United States,Unknown,Unknown,RedBlueBlackCreamOrangePurple,Scales,Unknown,Unknown,Up to 11 pounds,Up to 8.5 feet,Unknown,Unknown,4-12,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Venomous snakes, lizards, turtles, small mammals.",Unknown,Unknown,1,0,0,4.535923700000001,90.0
Tuatara,['Oceania'],Animalia,Chordata,Reptilia,Sphenodontia,Sphenodontidae,Sphenodon,Sphenodon Punctatus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,woodland and grassland,Carnivore,12,Solitary,Unknown,Unkown,Unknown,Only found on a few of New Zealand's islands!,Unknown,BrownGreyGreen,Scales,15 mph,50-100 years,600-900g (1.3-1.9lbs),Unknown,Unknown,Unknown,Unknown,"Pigs, Cats, Rodents",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Insects, Eggs, Lizards",Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,1,0,0,,84.074
Rough Green Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Opheodrys,Opheodrys aestivus,"Insects, snails, spiders, and small frogs",Unknown,Unknown,Unknown,Unknown,Unknown,Grass snake and green grass snake,Unknown,Unknown,Carnivore,Unknown,Unknown,rough green snake,Unkown,Unknown,Unknown,Unknown,Green,Scales,Unknown,Up to 8 years,Unknown,2.5 – 3 feet,Unknown,Unknown,3-12 eggs,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,365.76
Blue Belly Lizard,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Phyrnosomatidae,Sceloporus,Sceloporus occidentalis,"Spiders, insects, and other lizards",hatchling,Solitary,Unknown,habitat loss,The blue-colored abdomen,Western fence lizard,3-6 weeks,"Grasslands, forests, farmlands, and plains",Carnivore,Unknown,Unknown,Blue Belly Lizard,1.0,Western United States,Unknown,Unknown,BrownGreyYellowBlueBlack,Scales,Unknown,5-7 years,1 ounce,4.3-8.3 inches,1.5-2 years,Unknown,Unknown,"Coyotes, snakes, bobcats, and hawks",reptile,< 1 inch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,13.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,59.69
Scarlet Kingsnake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis triangulum elapsoides,"Lizards, other snakes, birds and their eggs, rodents",Unknown,Unknown,Unknown,Unknown,Unknown,scarlet milk snake,Unknown,Unknown,Carnivore,Unknown,Unknown,scarlet kingsnake,Unkown,Unknown,Unknown,Unknown,YellowRedBlackWhite,Scales,Unknown,21 years,Unknown,1.5 to 2.5 feet,Unknown,Unknown,10,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,59.69
Crested Gecko,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Diplodactglidae,Correlophus,Correlophus ciliatus,"Insects, arthropods such as spiders",hatchling,Solitary,Unknown,"Habitat destruction, introduction of invasive species.",The fringed crests that shade their eyes and run down the back and over the legs,"New Caledonian crested gecko, eyelash gecko",90 to 190 days,Rainforest from 492 to 3281 feet,Omnivore,Unknown,Unknown,crested gecko,1.0,New Caledonia,Unknown,solitary,YellowRedTanOrangePeach,Scales,30 mph,10 to 20 years in captivity,1.06 to 1.23 ounces,six to 10 inches,nine months to one year,Unknown,two,"Fire ants, dogs, cats, snakes, rats, other geckos",reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,1.0
Texas Spiny Lizard,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,Sceloporus olivaceous,"Beetles, wasps, grasshoppers",Hatchling,Solitary,Unknown,Predators,Blue patches on male’s belly,"Tree lizard, fence lizard",90 to 100 days,"Forests, scrublands, backyards",Carnivore,Unknown,Unknown,Texas spiny lizard,10.0,"Mexico, U.S.",Unknown,Lounge,BrownGreyBlackWhite,Scales,35 mph,2 to 7 years,Unknown,8 to 12 inches,1 year,At birth,4 to 20,"Snakes, raptors, weasels, lizards",Reptile,2 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,169.164
Skink Lizard,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Scincidae,Unknown,Unknown,"Flies, crickets, grasshoppers, beetles, and caterpillars",skinklets,Solitary,Unknown,Man,Lizard-like body with short legs or no legs at all,Skinks,30-75 days,Varies depending on species,Carnivore,Unknown,Unknown,Unknown,Unkown,Worldwide,Unknown,Unknown,BrownGreyRedGreenOrange,Scales,65 mph,Varies by species,1gram – 907 grams (1 ounce – 32 ounces),7.5 cm - 81cm (3in – 32 in),3 months - 36 months,2 days -12 months,10-18,"Foxes, raccoons, opossums, skunks, shrews, moles, birds",Reptiles,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,76.2
Cottonmouth,['North-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,Agkistrodon piscivorus,"Fish, rodents, shrews, frogs, reptiles, birds, insects, and eggs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Cottonmouth,Unkown,Unknown,Unknown,Unknown,BrownBlackOlive,Scales,Unknown,15-20 years,Unknown,2-6 feet,Unknown,Unknown,Up to 16 live young,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,76.2
Brown Snake,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Five to as many as 38,Unknown,"Brown snake, dugite, gwardar, common brown snake",Unkown,Unknown,Unknown,Unknown,Brown,Unknown,Unknown,Up to 15 years in captivity,Unknown,1.64 to 6.5 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Shades of brown, black, yellow, orange with mottling or bands",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Reptiles, including conspecifics, reptile eggs, amphibians, rats, mice, birds",Unknown,Unknown,1,0,0,,76.2
Jackson’s Chameleon,"['Africa', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Trioceros,Trioceros jacksonii,"Insects, centipedes, isopods, millipedes, spiders, lizards, birds, and snails.",Hatchlings,Solitary,Unknown,Natural predators and adult chameleons,Three horns,Trioceros,5-6 months,"Woodlands, forests",Carnivore,Unknown,Unknown,"Jackson’s chameleon, Jackson's horned chameleon, three-horned chameleon, or Kikuyu three-horned chameleon",3.0,"Hawaii, South-Central Africa",Unknown,Unknown,YellowBlueGreen,Scales,Unknown,5-10 years,90 to 150 grams,9 to 13 inches,5 months,Unknown,8-30 eggs,"Carnivorous spiders, birds, snakes, monkeys, shrews, and parasites.",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1.0,35.65
Box Turtle,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,Terrapene carolina,"Insects, roots, fruit, flowers, amphibians",Hatchlings,Solitary,"Less than 10,000","Habitat loss, automobiles on the road",Colorful shell,Unknown,50-90 days,"Forests, fields, residential neighborhoods",Omnivore,Unknown,Unknown,Box turtle,6.0,"United States, Mexico",Unknown,Unknown,YellowBlackDark BrownOrange,Hard Outer Shell,0.25 mph,100 plus years,0.5lbs to 2lbs,5in-6in,5 years,Unknown,1-11 eggs,"Dogs, skunks, raccoons, snakes and some birds",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1.0,35.65
River Turtle,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Reptilia,Testudines,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Slow-moving rivers, streams and ponds",Omnivore,35,Solitary,Unknown,Unkown,Unknown,Inhabits freshwater habitats around the world!,Unknown,BrownYellowBlackGreen,Shell,2.4 mph,10-30 years,0.5-8kg (1.1-18lbs),Unknown,Unknown,Unknown,Unknown,"Fox, Dog, Human",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Aquatic Plants, Fruits, Fish, Molluscs",Unknown,Unknown,Unknown,Unknown,Aquatic Plants,Unknown,Unknown,1,0,0,,167.64
Cascabel,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus durissus,"small rodents, lizards, birds",neonate,Solitary,Unknown,Unknown,Unknown,"South American rattlesnake, tropical rattlesnake, neotropical rattlesnake",Unknown,Unknown,Carnivore,Unknown,NocturnalCrepuscular, South American rattlesnake,6.0,Unknown,Unknown,Unknown,BrownGreyBlackDark Grey,Scales,Unknown,10 to 25 years,Unknown, 4.9 to 6.2 feet,Unknown,Unknown,Four to 14,Unknown,Unknown,Unknown,"Diamond pattern, bars and stripes on the head and neck",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,167.64
Alligator,"['Asia', 'North-America', 'Ocean']",Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,Alligator mississippiensis,"Fish, Snakes, Turtles",Hatchling,Solitary,1 million/less than 100,Water pollution,Muscular tail half the total body length,Gator,Unknown,Marsh and swampland,Carnivore,Unknown,Diurnal/Nocturnal,Alligator,2.0,southern USA and China,They have two sets of eyelids!,Reptile,BrownGreyYellowBlackGreen,Scales,15 mph,30 - 60 years,181kg - 363kg (400lbs - 800lbs),2.5cm - 4.5m (8ft - 15ft),10 - 12 years,Unknown,Unknown,"Human, Birds, Raccoon",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2 months,Unknown,35.0,Unknown,Brackish,1- 2 years,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,45.359237,173.73600000000002
Desert Tortoise,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus,Gopherus Agassizii,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sandy desert plains and rocky hills,Herbivore,Unknown,Solitary,Unknown,Unkown,Unknown,Lives in burrows underground!,Unknown,BrownYellowBlackTan,Scales,0.3 mph,25 - 60 years,4kg - 7kg (8lbs - 15lbs),25cm - 36cm (10in - 14in),Unknown,Unknown,Unknown,"Coyote, Birds, Gila Monster",Reptile,Unknown,Small size and patterned shell,Unknown,Unknown,Unknown,Unknown,Unknown,7.0,"Grasses, Herbs, Flowers",Unknown,Unknown,Unknown,Unknown,Grasses,Unknown,Unknown,1,0,0,,167.64
Frilled Lizard,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Agamidae,Chlamydosaurus,Chlamydosaurus kingii,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tropical forests and woodland,Omnivore,Unknown,Solitary,Unknown,Unkown,Unknown,Mainly lives in the trees!,Unknown,BrownYellowBlackTan,Scales,30 mph,10 - 20 years,0.5kg - 1kg (1.1lbs - 2.2lbs),60cm - 100cm (24in - 40in),Unknown,Unknown,Unknown,Unknown,Reptile,Unknown,Long tail and large expanding frill on neck,Unknown,Unknown,Unknown,Unknown,Unknown,12.0,"Insects, Rodents, Spiders",Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,1,0,0,,167.64
Garter Snake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis sirtalis,"Small fish, amphibians, frog eggs, lizards, leeches, earthworms, slugs, snails, insects, snails, crayfish, small birds, rodents and other small mammals, other snakes",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,garter snake,Unkown,Unknown,Unknown,Unknown,YellowRedGreenOrange,Scales,Unknown,"4-5 years in the wild, 6-10 years in captivity",Unknown,18-42 inches,Unknown,Unknown,20-40 eggs,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,167.64
Green Anole,['North-America'],Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis carolinensis,Small insects,"Young, young anole, younger anole",Territorial,unknown,Invasive lizard species,Dewlap,"Common green anole, American green anole, Carolina anole, red-throated anole",5-7 weeks,"Trees, shrubs",Carnivore,Unknown,Unknown,Green anole,425.0,"Southeastern United States, Caribbean islands",Unknown,Unknown,BrownGreenDark Brown,Scales,6 mph,"On average 2-3 but up to 8 in the wild, 4-7 years in captivity",2-6g,4-8cm (1.5-3.1in),8-9 months,"None, the eggs are left to incubate underground and hatch by themselves",Unknown,"Broadhead skink, snakes, birds, cats",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,198.12
Pied Ball Python,['Africa'],Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,Rodents and birds,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,1-14 snakes,Unknown,Pied Ball Python,Unkown,Unknown,Unknown,Unknown,BrownWhiteTan,Unknown,Unknown,10-20 years on average,Unknown,3 to 6 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,76.2
Gaboon Viper,['Africa'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,Bitis gabonica,"Mammals, ground-living birds and amphibians",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,"Gaboon viper, forest puff adder, whisper, butterfly adder, Gaboon adder, swampjack",Unkown,sub-Saharan Africa,Unknown,Unknown,BrownGreyYellowPurple,Scales,Unknown,About 20 years,20 to 45 pounds,4 to 7 feet,Unknown,Unknown,20 to 50,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,7.0
Southern Black Racer,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber constrictor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,6-23 eggs,Unknown,"Black racer, North American racer",Unkown,Unknown,Unknown,Unknown,BlackWhite,Unknown,Unknown,5-10 years,Unknown,2-5 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,76.2
Spitting Cobra,"['Africa', 'Asia']",Animalia,Chordata,Reptilia,Squamata,Elapidae,Unknown,Unknown,"Small mammals, amphibians, reptiles, insects, eggs, birds. Some species scavenge.",Unknown,Solitary,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,2 to 23 eggs,Unknown,"Spitting cobra, ulupong",Unkown,Africa and Asia,Unknown,Unknown,BrownGreyYellowRedBlueBlackGreenPink,Scales,Unknown,20 year lifespan in captivity,Unknown,2.29 to 8.9 feet,two or three years,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Wood Turtle,"['Asia', 'Central-America', 'North-America', 'South-America']",Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Geoemydidae,Unknown,"Insects, earthworms, small arthropods such as millipedes",Hatchling,Solitary/Group,Several thousand depending on species,"Habitat loss, pet trade, animal predators, humans","The scutes, which have beautiful growth rings","Nihonishigameor, ornate wood turtle, Honduran wood turtle, black river turtle, spot-legged turtle, brown land turtle, Splengleri turtle",8 months,"Deciduous forests, rain forests, marshes, bogs, rivers, streams",Omnivore,Unknown,Unknown,Wood turtle,9.0,"North America, Central America, South America, China, Vietnam, Japan",Unknown,Unknown,BrownYellowBlackGreenGrey-Brown,Hard Outer Shell,0.2 mph,Up to 58 years,Up to 3 pounds,About 8 to 9 inches,14 years,Unknown,1 to 20,Alligators,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Eyelash Viper,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothriechis,Bothriechis schlegelii,"Small birds, lizards, frogs, small rodents.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,"Eyelash viper, eyelash pit viper, eyelash palm viper, eyelash snake, eyelash lancehead, eyelash mountain viper, horned palm viper.",Unkown,Unknown,Unknown,Unknown,BrownYellowRedBlueBlackGreenPink,Scales,Unknown,Up to 10 years,Unknown,22 – 32 inches,Unknown,Unknown,2-20,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,76.2
Glass Lizard,"['Africa', 'Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Anguidae,Ophisaurus,Ophisaurus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sandy coastal regions,Carnivore,Unknown,Solitary,Unknown,Unkown,Unknown,Can grow up to 4ft long!,Unknown,BrownGreyYellowBlackTanGreen,Scales,6 mph,10 - 30 years,300g - 600g (11oz - 21oz),60cm - 121cm (2ft - 4ft),Unknown,Unknown,Unknown,"Birds, Mammals, Snakes",Reptile,Unknown,Forked tongue and detachable tail,Unknown,Unknown,Unknown,Unknown,Unknown,6.0,"Insects, Snails, Spiders",Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,1,0,0,,76.2
Tiger Rattlesnake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. tigris,Small mammals and lizards,Neonate,SolitarySolitary except during mating season,"10,000",Human expansion,Small head and large rattle,Tiger rattler,Unknown,Unknown,Carnivore,6-10,NocturnalCrepuscular,Tiger Rattlesnake,Unkown,Central Arizona south to northern Mexico,Unknown,Unknown,BrownYellowFawnTanOrangeLilac,Scales,Unknown,Unknown,Unknown,2-3 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"""Tiger stripes"" in the form of crossbands down the length of the snake",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Adults - mainly small mammals; juveniles - mainly lizards,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,76.2
Sharp-Tailed Snake,['North-America'],Animalia,Chordata,Reptilia,Reptilia Order:	Squamata,Colubridae,Contia,Contia tenuis,Slugs,Snakelet or hatchling,Semi-social,"100,000 plus adults",Habitat loss,"Spiny, sharp tail","Pacific brown snake, gentle brown snake",Summer to mid-fall,"Moist areas including woodlands, forests, grasslands",Carnivore,Unknown,Unknown,Sharp-tailed snake,Unkown,"Western part of the United States, British Columbia",Unknown,Semi-social,BrownGreyRedWhite,Scales,Unknown,10 years,5 ounces,12in -19in,Unknown,Birth,3-8 eggs,"Birds, larger snakes, foxes, cats",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,76.2
Brown Water Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Nerodia,Nerodia taxispilota,fish,Unknown,Unknown,Unknown,Unknown,Unknown,"water rattle, southern water snake, pied water snake, greater water snake, water-pilot, aspic, and false moccasin",Unknown,Unknown,Omnivore,Unknown,Unknown,"Brown water snake, brown watersnake",Unkown,Unknown,Unknown,Unknown,Brown,Scales,Unknown,Up to 9 years in captivity,Unknown,3.5 to 6 feet,Unknown,Unknown,"Up to 61, but typically 20-30",Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,76.2
