name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features
Bloodhound,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,7,,Bloodhound,,,"Affectionate, gentle and even-tempered!",Hound,BrownBlackTan,Hair,,,,,,,,,,,,"Kind, patient and noble",Should be trained from an early age due to their large size,,,,,,,,,,,,,,,,,
Blue Tit,"['Africa', 'Asia', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,Cyanistes caeruleus,"Insects, spiders, fruits, and seeds",,,20-44 million pairs,Habitat loss,The bright blue crown and black eye stripe,Blue cap or blue bonnet,,"Woodlands, hedgerows, parks, and gardens",Omnivore,,,Blue Tit,3.0,"Europe, Asia, and Africa",,,GreyYellowBlueBlackWhite,,20 mph,Up to 10 years old,11g (0.4oz),,,,,"Cats, sparrowhawks, squirrels, and weasels",Bird,12cm (5in),,,,18cm (7in),16 days,,,,,,,,,"Holes in trees, walls, or nest boxes",3 weeks,,,1.0,,
Blue-Ringed Octopus,['Ocean'],Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Hapalochlaena,,"Shrimp, crabs, and fish",Larvae,Solitary,Unknown,Habitat changes,The glowing blue rings on the yellow skin,,6 months,Tidal pools and coral reefs,Carnivore,,,Blue-ringed Octopus,4.0,Pacific and Indian Oceans,,,BrownYellowBlueWhite,Skin,,2 years,10-100g (0.35-3.5oz),,A year,,50 eggs,"Seals, birds, eels, and larger fish",Cephalopod,12-25cm (5-10in),,,,,,,,,,,,,,,,,,,,
Bluegill,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus,"Insects, small crustaceans",,School,Unknown,Recreational fishing,Black spot on its dorsal fin,"Bluegill sunfish, Bream",3 days,"Lakes, streams",Carnivore,,,Bluegill,38.0,,,,BrownYellowRedBlueBlackGreenOrange,Scales,,4-6 years,1 - 2.6lbs,7 - 16 inches,,,,"Birds, raccoons, large fish, humans",Perciformes,,,,,,,,,,,,Fresh,,,,,,,,7.0-7.5,
Bluetick Coonhound,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,7,,Bluetick Coonhound,,,Has an uncanny knack for problem-solving!,Hound,GreyBlueBlackWhite,Hair,,11-12 years,,,,,,,,,,Smart and brave,Should be trained from an early age due to their large size,,,,,,,,,,,,,,,,,
Bobolink,"['North-America', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,Dolichonyx oryzivorus,Insects and insect larvae,,,9.7 million,"Habitat destruction, climate change","Its song, which sounds like “Bob o’ Lincoln.”","Armyworm bird, reedbird, rice bird, butterbird",,"Wetlands, prairies, grassy fields",Omnivore,,,Bobolink,1.0,"Canada and northern United States in the spring, South America in the winter",,,BlackCreamLight-Brown,Feathers,45 mph,average of five years,one ounce,6.3 to 7.1 inches,,,3-7,"Skunks, birds of prey, raccoons, snakes",bird,,,,,11.5 inches,10-13 days,,5.0,,,,,,,On the ground among the grass,one week,,,1.0,,
Boggle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BlackWhiteTan,Hair,,10-13 years,65 lbs,,,,,,,,,"Strong, loving, and loyal",,,,,,,,,,,,,,,,,,
Boglen Terrier,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyBlackWhiteBrindle,Hair,,10-13 years,40 lbs,,,,,,,,,"Fun, friendly, and loyal",,,,,,,,,,,,,,,,,,
Bolognese Dog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,4,,Bolognese Dog,,,From the northern Italian city of Bologna!,Gun Dog,White,Hair,,,,,,,,,,,,"Devoted and lively, yet docile",Should be trained from an early age due to their hyperactive nature,,,,,,,,,,,,,,,,,
Bongo,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus eurycerus,"Leaves, Bark, Grasses",Calf,Solitary/Herd,"28,000",Habitat loss,10 - 15 white stripes on body,"Lowland Bongo, Mountain Bongo",9 months,Dense forests and bamboo thickets,Herbivore,1,Diurnal,Bongo,2.0,"Western, Eastern and Central Africa",Long and heavy spiralled horns!,Mammal,BrownRedBlackWhiteOrangeChestnut,Fur,43 mph,10 - 18 years,150kg - 220kg (330lbs - 484lbs),1.7m - 2.5m (5.5ft - 8.25ft),20 - 24 months,6 months,,"Leopards, Hyenas, Lions",,,,,,,,,,,,,,,,,,,,,,
Bonito Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Sarda,Sarda,Sardines and anchovies or other small fish,,School,Unknown due to this fish’s frequent migration patterns.,Overfishing for consumption,Tuna-like appearance with stripes and varying coloration,"Striped Bonito, Bunny, Common Bonito, Horse Mackerel, Little Bonito, Skipjack",Eggs take 3 days to hatch.,Worldwide from the open ocean to nearshore areas with kelp accumulations,Carnivore,,,,4.0,,,,GreyBlackSilver,Scales,40 mph,6 to 8 years,Up to 25 pounds,Up to 48 inches,,,,"Blue fin tuna, swordfish, marlins and other large fish",Schooling fish,,,,,,,,,,,,Salt,,,,,Other small fish and invertebrate ocean life,,,,
Bonobo,['Africa'],Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,Pan paniscus,,Baby / infant,Troop,"Between 10,000 and 50,000",,,,"240 days, or 8 months",Lowland jungle and swamp forests,Omnivore,1,Troop,,1.0,,Shares 97% of the same DNA as humans!,,BrownGreyBlack,Hair,25 mph,Up to 40 years in a zoo or other captive setting.,25kg - 50kg (55lbs - 110lbs),,12 years,5 to 6 years,1,,Mammal,73cm - 90cm (29in - 35in),Large body size and opposable thumbs,,,,,,,,,Small invertebrates and mammals,,,,,,Fruit,,,,
Booby,"['Central-America', 'Ocean', 'South-America']",Animalia,Chordata,Aves,Pelecaniformes,Sulidae,Sula,,,,,,,,,,Subtropical and tropical islands,Carnivore,,Flock,,,,Seabirds found across the South Pacific!,,BrownGreyBlackWhite,Feathers,60 mph,12 - 17 years,0.9kg -1.8kg (2lbs - 3.9lbs),,,,,,Bird,64cm - 91cm (25in - 36in),Large body size and brightly coloured feet,,,130cm - 155cm (51in - 61in),,,2.0,,,"Flying Fish, Sardines, Anchovies, Squid",Saltwater,,,,,Flying Fish,,,,
Border Collie,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,6,,Border Collie,,,Highly intelligent and alert breed!,Herd,BrownRedBlackWhite,Hair,,12-15 years,,,,,,,,18-22 inches,,Lively and intelligent,Should be trained from an early age in obedience,,,,,,,,,,,,,,,,,
Border Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,6,,Border Terrier,,,"Small, rough-coated breed of terrier!",Terrier,BrownGreyFawnBlackTan,Hair,,,,,,,,,,,,"Affectionate, brave and intelligent",Should be trained from an early age due to their hyperactive nature,,,,,,,,,,,,,,,,,
Bordoodle,['North-America'],Animalia,Chordata,Mammalia,,,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borkie,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhite,Hair,,10-13years,25 lbs,,,,,,,,,Lovable and energetic,,,,,,,,,,,,,,,,,,
Boston Terrier,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,4,,Boston Terrier,,,"Friendly, lovable and very strong!",Mastiff,BrownGreyRedBlackWhiteTan,Hair,,,,,,,,,,,,"Strong, friendly and devoted",Should be trained from an early age in a patient and understanding way,,,,,,,,,,,,,,,,,
Bottlenose Dolphin,['Ocean'],Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops,Tursiops Truncatus,,,,,,,,,Warm harbours and bays,Omnivore,1,Pod,,,,"Stays in groups from 15 to 2,000 in number!'",,Light GreyDark Grey,Smooth,21 mph,20 - 35 years,200kg - 300kg (440lbs - 660lbs),2.5m - 4m (8ft - 13ft),,,,"Human, Sharks, Killer Whale",Mammal,,Large dorsal fins and communicate using whistling,,,,,,,,,"Fish, Shrimp, Squid",,,,,,Fish,,,,
Bowfin,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Amiiformes,Amiidae,Amia,Amia calva,"Crustaceans, insects, amphibians, and other fish",,Solitary,Unknown,Loss of habitat,Eyespot,"Mudpike, mudfish, dogfish, grinnel fish, and swamp trout",8-10 days,"Lakes, ponds, wetlands, rivers, and streams",Carnivore,,,Bowfin,1.0,,,,BrownBlackGreen,Scales,,10 to 12 years on average,Up to 21lbs,51cm – 109cm (20in – 43in),,,,"Alligators, other bowfins, and humans",Ray-finned fish,,,,,,,,,,,,Fresh,,,,,,,,6-7.5,
Box Turtle,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,Terrapene carolina,"Insects, roots, fruit, flowers, amphibians",Hatchlings,Solitary,"Less than 10,000","Habitat loss, automobiles on the road",Colorful shell,,50-90 days,"Forests, fields, residential neighborhoods",Omnivore,,,Box turtle,6.0,"United States, Mexico",,,YellowBlackDark BrownOrange,Hard Outer Shell,0.25 mph,100 plus years,0.5lbs to 2lbs,5in-6in,5 years,,1-11 eggs,"Dogs, skunks, raccoons, snakes and some birds",Reptile,,,,,,,,,,,,,,,,,,,,,
Boxer Dog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,8,,Boxer Dog,,,"Bright, energetic and playful!",Mastiff,BrownBlackTan,Hair,,,,,,,,,,,,"Intelligent, fearless and strong",Should be trained from an early age due to their independent nature,,,,,,,,,,,,,,,,,
Boxerdoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxfish,['Ocean'],Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Ostracion,Ostracion cubicus,"Algae, worms, small fish",,Solitary,unknown,Being captured as exotic pets,Box-like body shape,"Cowfish, trunkfish",,Ocean,Omnivore,,,Box fish,24.0,,,,BrownYellowBlueBlackWhite,Scales,,,,,,,,"Large size fish, sharks, humans",Tetraodontiformes,,,,,,,,,,,,Salt,,,,,,,,8.1-8.4,
Boxsky,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyFawnBlackWhiteBrindle,Hair,,12-15 years,75 lbs,,,,,,,,,"Affectionate, energetic, and independent",,,,,,,,,,,,,,,,,,
Boxweiler,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownFawnBlackWhiteBrindle,Hair,,8 to 13 years,100 lbs,,,,,,,,,Energetic and protective,,,,,,,,,,,,,,,,,,
British Timber,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Carnivore,,,British Timber,,,,,GreyBlackWhite,Hair,,10 to 14 years,,,,,,,,,,"Active, energetic, loyal, affectionate, and loving",,,,,,,,,,,,,,,,,,
Brown Dog Tick,"['Africa', 'Antarctica', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Rhipicephalus,Rhipicephalus sanguineus,Blood,Larvae,Solitary,,Ingestion by mites or nematodes,"Narrow, almost rectangular body","Kennel tick, dog tick",1-30 days,,Omnivore,,,Dog tick,1.0,Everywhere humans live,,Ticks,Brown,Exoskeleton,,3-18 months,,2-10 mm,30-600 days,,"3,000-7,000 eggs",,Arachnid,,,,,,,,,,,,,,,,,,,,,
Brug,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,,,,Grifon Pug,,,Omnivore,,,,,,,,BrownRedBlackWhite,Hair,,12-15 years,,,,,2-3,,Mammal,,,,,,,,,,,,,,,,,,,,,
Brussels Griffon,['Europe'],Animalia,Chordata,Mammalia,Carnivors,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,1-3 puppies,,,,,,,BrownRedBlueBlackTanBeige,Hair,,12-15 years,7-12 pounds,,,,,,,7-8 inches,,"Friendly, cheerful, curious, charming and affectionate.",,,,,,,,,,,,,,,,,,
Bull Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,7,,Bull Terrier,,,Needs to be kept active!,Mastiff,BrownBlackWhiteTan,Hair,,,,,,,,,,,,Friendly and alert but stubborn,Should be trained from an early age due to their independent nature,,,,,,,,,,,,,,,,,
Bull Trout,['North-America'],Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus confluentus,Invertebrates and fish,,,"500,000 to one million",Damage to habitat,Light spots on a dark background,,4 to 5 months,"Clean, cold water",Carnivore,,,Bull Trout,1.0,,,,YellowRedOrangePink,Scales,,10 to 12 years,30 lbs,37 inches,,,,Otters and osprey,Fish,,,,,,,,,,,,Salt,,,,,,,,Less than 7,
Bulldog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,10,,Bulldog,,,"Friendly, loving and docile!",Mastiff,BrownFawnBlackWhiteTan,Hair,,,,,,,,,,,,"Gentle, calm and affectionate",Should be trained from an early age due to their stubborn nature,,,,,,,,,,,,,,,,,
Bullfrog,"['Central-America', 'North-America', 'Ocean']",Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates catesbeianus,,,,,,,,,"Lakes, ponds, rivers and streams",Carnivore,,Solitary,,,,Has loud cow-like calls!,,BrownGreyYellowBlackGreen,Permeable,10 mph,6 - 10 years,300g - 500g (10.5oz - 17.6oz),9cm - 15cm (3.5in - 6in),,,,,Amphibian,,Powerful legs and cow-like call,,,,,,20000.0,,,"Insects, Spiders, Small Fish",,,,,,Insects,,,,
Bumblebee,"['Africa', 'Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus,,,,,,,,,Quiet forests and pastures,Herbivore,200,,Bumble Bee,250.0,Northern Hemisphere,The most common species of bee!,,YellowBlackOrange,Hair,,,,,,,,"Bats, Frogs, Skunks",,,,,,,,,,,,"Nectar, Pollen, Honey",,,,,,Nectar,,,,
Burmese,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,,,,,,,Omnivore,5,,Burmese,,,"Adoring, elegant and affectionate!",Shorthair,BrownBlueBlackCreamLilacGinger,Hair,,13 years on average,6 to 12 lbs.,,,,,,,,,"Intelligent, friendly and affectionate",,,,,,,,,,,,,,,,,,
Burmese Python,['Asia'],Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python bivittatus,"Mice, rabbits, and chickens",Hatchlings,Solitary,"30,000 or more around the world.",Humans and alligators,These snakes have puzzle like patches all over the skin.,,2 to 3 months,Natives of jungles and grassy marshes of Southeast Asia,Carnivore,,,Burmese python,1.0,"Native to Asia and can be found from eastern India through Vietnam and southern China. Can also be found in the islands of Java, Bali, small parts of Sulawesi, Sumbawa, and Florida (United States).",,,BrownBlackTan,Scales,1 mph,Around 20 years,Up to 200 pounds,Up to 23 feet long,18 months to 4 years old,,100,Alligators and human beings,Reptiles (Snakes),,,,,,,,,,,,,,,,,"Mice, rabbits, and chickens",,,,
Burrowing Frog,['Oceania'],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Heleioporus,,,,,,,,,,"Forests, rivers and marshes",Carnivore,,Solitary,,,,"Found close to marshes, streams and lakes!",,BrownGreyYellowBlackGreen,Permeable,5 mph,10 - 15 years,20g - 80g (0.7oz - 2.8oz),6cm - 10cm (2.4in - 4in),,,,"Foxes, Snakes, Birds",Amphibian,,"Long limbs and rough, bumpy skin",,,,,,200.0,,,"Insects, Worms, Spiders",,,,,,Insects,,,,
