name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,coordenadas
Koi Fish,['Asia'],Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,"Cyprinus rubrofuscus ""koi""","Aquatic insects and their larvae, crustaceans, worms, its own young",Unknown,School,"Hundreds of thousands, at least",None,Its beauty,"Nishikigoi, koi carp",Four to seven days,Private and public bodies of fresh water,Omnivore,Unknown,Unknown,Koi fish,1.0,Unknown,Unknown,Unknown,GreyYellowRedBlackWhiteGreenOrangeSilver,Scales,Unknown,25 to 200 years,35 pounds,39 inches,Unknown,Unknown,Unknown,"Wading birds such as herons, small mammalian carnivores",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.0 to 8.5,Unknown,
Great Crested Flycatcher,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,Myiarchus crinitus,"Insects, spiders, lizards, fruits, and berries",Unknown,Unknown,6.7 million,Habitat loss and poisoning,The crest on the head,Unknown,Unknown,Woodlands,Omnivore,Unknown,Unknown,Great Crested Flycatcher,1.0,"United States and Canada, Central and South America",Unknown,Unknown,BrownYellowBlue,Unknown,Unknown,Up to 14 years,27-40g (0.9-1.4oz),Unknown,Unknown,Unknown,Unknown,Snakes and squirrels,Bird,17-21cm (6.7-8.3in),Unknown,Unknown,Unknown,33cm (13in),13-15 days,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tree cavities,13-15 days,Unknown,Unknown,1.0,Unknown,Unknown,
Flea,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Siphonaptera,Unknown,Unknown,Unknown,Unknown,Larvae,Solitary,Unknown,None,The long legs,Unknown,A week,Mammal and bird hosts in various habitats,Carnivore,Unknown,Unknown,Flea,1998.0,Worldwide,Unknown,Unknown,BrownRedBlack,Exoskeleton,4.25 mph,A few months to a year,1mg,1.5-3.3mm (0.1in),3-4 weeks,Unknown,25-40 eggs per day,"Insects, spiders, lizards, snakes, and frogs",Insect,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Blood and other organic matter,Unknown,Unknown,Unknown,Unknown,
Worm Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Carphophis,"Carphophis amoenus, Carphophis vermis","Caterpillars, snails, slugs, and other soft-bodied invertebrates",Snakelets or hatchlings,Unknown,Unknown,Unknown,They have spiked tails but they don't sting!,"Blind snakes, thunder snakes, milk snakes, eastern twig snakes, and cricket snakes",Unknown,Unknown,Omnivore,Unknown,Unknown,Worm snake,Unkown,Unknown,Unknown,Unknown,RedBlackDark BrownPurplePink,Unknown,Unknown,4 years,Unknown,7.5 - 11 inches,Unknown,Unknown,Unknown,"Other snakes, oppossums, birds",Unknown,Unknown,"Narrow, cone-shaped heads",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Low,Earthworms,Unknown,Unknown,Unknown,"Abandoned burrows, in decaying wood, or under rocks",Unknown,Earthworms,Unknown,Unknown,Unknown,Unknown,
Pomchi,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BlueOrangeChocolateGrey-BrownBlonde,Hair,Unknown,13 to 18 years,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11 lbs.,Unknown,"Sassy, outgoing, and loyal",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Labrador Retriever,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Labrador Retriever,Unkown,Unknown,"Well-balanced, friendly and versatile!",Gun Dog,Unknown,Hair,Unknown,15 years,34kg (75lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Colurella,Colurella adriatica,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Maltipoo,[],Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Bullmastiff,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,8,Unknown,BullMastiff,Unkown,Unknown,"Courageous, loyal and calm!",Mastiff,BrownFawnBlackTanCream,Hair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Devoted, alert and fearless",Should be trained from an early age due to their independent nature,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Starfish,['Ocean'],Animalia,Echinodermata,Asteroidea,Unknown,Unknown,Unknown,Asteroidea,Mollusks,Unknown,Solitary,unknown,coral reef destruction,"Bumpy, spiny skin",Sea star,4-8 weeks,coral reef,Carnivore,"1,000,000",Solitary,Starfish,2000.0,Unknown,Has 2 stomachs to aid digestion!,Unknown,BrownGreyRedBlueOrange,Spiky,0.6 mph,35 years,0.1-6kg (0.2-13lbs),Unknown,Unknown,Unknown,Unknown,"Fish, birds, turtles, otters, carbs",Asteroidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Crustaceans, Worms, Sea Urchins",Salt,Unknown,Unknown,Unknown,Unknown,Crustaceans,Unknown,Unknown,Unknown,Unknown,
Olive Baboon,['Africa'],Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Papio,Papio anubis,"Rodents, birds, insects, fruits, roots, seeds, leaves, bark, flowers, and more",infant,Unknown,Unknown,Hunting and habitat loss,The long canines on the male,Anubis baboon,180 days,"Savannahs, grasslands, deserts, and rainforests",Omnivore,Unknown,Unknown,Olive Baboon,1.0,Central Africa,Unknown,Unknown,GreyGrey-Brown,Fur,Unknown,25 years,30-55 pounds,19-30 inches,25 years,Unknown,one,"Leopards, crocodiles, raptors, hyenas, wild dogs, and chimpanzees",primate,two feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Redback Spider,"['Asia', 'Europe', 'Oceania']",Animalia,Arthropoda,Arachnida,aranae,Theridiidae,Latrodectus,Latrodectus hasselti,"Insects, sometimes smaller snakes, birds, lizards other spiders, including other redback spiders.","Hatchlings, spiderlings",Solitary,"Possibly millions, but its conservation status is not evaluated",Humans,Its red stripe,"Kanna-jeri spider, Murra-ngura spider, red-striped spider, Kapara spider, red spot spider, jockey spider, redback widow",Eight days,"Inside human dwellings and constructs, sometimes savannas, deserts or chaparral.",Carnivore,Unknown,Unknown,Redback spider,1.0,"Oceania, Southeast Asia, Iran, India, and Japan",Unknown,Unknown,BrownRedBlack,Exoskeleton,Unknown,6 months to 3 years,0.035 ounces,0.12 to 0.39 inches,90-100 days,Unknown,40-500,"Other spiders, including giant daddy long legs, spider wasps, mantid lacewings.",Arachnid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia ringens,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Mayfly,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Ephemeroptera,Unknown,Unknown,Ephemeroptera,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Forest and woodland close to water,Omnivore,"1,000",Unknown,Mayfly,2500.0,Worldwide,"There are 2,500 known species worldwide!",Unknown,BrownGreyYellowBlackTanGreen,Shell,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Birds, Rodents, Reptiles",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Algae, Larvae, Aquatic Plants",Unknown,Unknown,Unknown,Unknown,Unknown,Algae,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella parasitica,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela gunningi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
American Toad,['North-America'],Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus americanus,"Aquatic vegetation and algae, a wide variety of insects and other invertebrates, slugs, beetles, snails, and earthworms.",Tadpoles,Solitary/Group,"Unknown, due to constant fluctuations in different regions.",Snakes (Eastern hognose snakes),Warts on skin,Unknown,2-14 days,"Semi-permanent pool or pond, dense vegetation patches",Omnivore,Unknown,Unknown,American Toad,3.0,"Semi-permanent pool or pond, dense vegetation patches",Unknown,Unknown,BrownGreyOliveLight-Brown,Permeable,Unknown,"Talking about lifespan, they can live more than 10 years if taken care of, usually do not survive more than a year or two in the wild",Less than 1 lbs,50 to 100 mm,2 to 3 years,Unknown,"4,000-8,000 eggs",Snakes (Eastern hognose snakes),Frog (Amphibian),50 to 100 mm,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Snouted Cobra,['Africa'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,Naja annulifera,"Birds, lizards, rodents, toads, and other snakes",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Snouted Cobra,Unkown,Unknown,Unknown,Unknown,BrownYellowBlue,Scales,Unknown,20 years,Unknown,4-8 feet,Unknown,Unknown,8-33 eggs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Adelie Penguin,"['Antarctica', 'Asia', 'Eurasia', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,"Krill, Fish, Squid",Chicks,Colony,5 million,Rapid ice melt,Small white circle around each eye,Unknown,Unknown,Antarctic land and ocean,Carnivore,Unknown,Diurnal,Adelie Penguin,1.0,Coastal Antarctica,Eats up to 2kg of food per day!,Bird,Unknown,Feathers,45 mph,10 - 20 years,3kg - 6kg (7lbs - 13lbs),Unknown,2 - 3 years,Unknown,Unknown,"Leopard Seal, Skua Gull, Killer Whale",Unknown,40cm - 75cm (16in - 30in),Unknown,Unknown,Unknown,35cm - 70cm (14in - 27.5in),2 months,90 days,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Crane,"['Africa', 'Asia', 'Eurasia', 'Europe', 'North-America', 'Oceania']",Animalia,Chordata,Aves,Gruiformes,Gruidae,Unknown,Gruidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Temperate wetlands,Omnivore,Unknown,Flock,Unknown,Unkown,Unknown,Many are critically endangered species!,Unknown,BrownGreyRedBlueBlackWhite,Feathers,25 mph,15 - 30 years,3.7kg - 10kg (8.2lbs - 22lbs),1m - 1.4m (40in - 55in),Unknown,Unknown,Unknown,"Fox, Eagle, Wildcats",Bird,Unknown,Large body size and long beak,Unknown,Unknown,1.8m - 2.4m (71in - 95in),Unknown,Unknown,4.0,Unknown,Unknown,"Insects. Fish, Grain",Unknown,Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,Unknown,Unknown,
Albacore Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus alalunga,Unknown,Unknown,School,More than a million,Overfishing,The long pectoral fin that stretches across the body,Longfin tuna,A few days,Oceans,Carnivore,Unknown,Unknown,Albacore tuna,1.0,Unknown,Unknown,Unknown,GreyBlueSilver,Smooth,50 mph,10 - 12 years,Up to 80lbs,1.2m (4ft),Unknown,Unknown,Unknown,"Sharks, billfish, rays, humans, and other tunas",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, crustaceans, cephalopods, and mollusks",Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Dorkie,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BlackWhiteTan,Hair,Unknown,10 - 13 years,12 pounds,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Laid-back and even-tempered,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Marmot,"['Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Unknown,Unknown,Pup,SolitarySocial,Unknow,Poaching,Yellow fur on its belly,"Ground hog, ground squirrel, rock chuck, whistle pig",30 days,"Meadows, steppes, forest edges",Herbivore,Unknown,Unknown,Ground squirrel,15.0,"Asia, North America, Europe",Unknown,Unknown,BrownYellowWhite,Hair,3 mph,13 – 15 years,3.5lbs-24lbs,18.5in - 27.5 in,2 years,7 weeks,3-8,"Coyotes, badgers, black bears, eagles",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Seeds, nuts, flowers",Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Anchitestudinella,Anchitestudinella mekongensis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Armyworm,"['Africa', 'Asia', 'Central-America', 'Europe', 'North-America', 'South-America']",Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna unipuncta,Unknown,larva,Solitary,Unknown,pest control,Five stripes of various colors running the length of the body,"true armyworm moth, white-speck moth, common armyworm or rice armyworm",3.5 to 6.5 days (egg to larva),Agricultural crops and weedy grasses,Herbivore,Unknown,Unknown,armyworm,30.0,"Americas, southern Europe, central Africa, and western Asia",Unknown,solitary,Olive-GreyGrey-Brown,Hair,62 mph,36-95 days,0.026 to 0.18 grams,"0.063in to 1.5in larvae, 1.5in wingspan as adult",30-50 days,Unknown,500 to 1500 eggs per adult female,"humans with pesticide treatments, bats, ground beetles, ants, spiders, bobolink blackbirds, starlings, crows; wasp and fly parasitoids; bacterial and fungal diseases",Insect,Unknown,Unknown,Unknown,Unknown,1.5 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella longiseta,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Common Frog,['Europe'],Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Rana temporaria,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Forests, rivers and marshes",Carnivore,Unknown,Solitary,Unknown,Unkown,Unknown,Found throughout the European continent!,Unknown,BrownGreyBlackGreen,Permeable,5 mph,5 - 10 years,20g - 80g (0.7oz - 2.8oz),6cm - 10cm (2.4in - 4in),Unknown,Unknown,Unknown,Unknown,Amphibian,Unknown,Short back legs and webbed toes,Unknown,Unknown,Unknown,Unknown,Unknown,1500.0,Unknown,Unknown,"Insects, Worms, Snails",Unknown,Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,Unknown,Unknown,
Pomapoo,[],Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Dicranophoridae,Balatro,Balatro fridericiae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha gulosa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Hedgehog,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dense vegetation and woodland,Omnivore,5,Solitary,Unknown,Unkown,Unknown,Thought to be one of the oldest mammals on Earth!,Unknown,BrownGreyTan,Spikes,12 mph,3-6 years,1-2kg (2.2-4.4lbs),Unknown,Unknown,Unknown,Unknown,"Owl, Dog, Foxes",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Insects, Worms, Seeds",Unknown,Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,Unknown,Unknown,
Javanese,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,7,Unknown,Javanese,Unkown,Unknown,Features that closely resemble a Siamese cat!,Longhair,BrownFawnRedBlueWhiteCreamLilac,Hair,Unknown,8-12 years,5-9 pounds,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Loving, gentle and affectionate",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Goberian,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BrownGreyBlackWhiteCream,Hair,Unknown,10 to 15 years,80 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Friendly, smart, and playful",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha sylvestris,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Raccoon Dog,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes,Nyctereutes procyonoides,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Thick forests close to water,Carnivore,8,Pack,Unknown,Unkown,Unknown,The only hibernating canine!,Unknown,BrownYellowBlackTan,Fur,25 mph,3 - 8 years,3kg - 10kg (6.6lbs - 22lbs),50cm - 65cm (19.6in - 26in),Unknown,Unknown,Unknown,"Foxes, Wolves, Wildcats",Mammal,Unknown,Dexterous front paws and pointed snout,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Frogs, Fish, Rodents",Unknown,Unknown,Unknown,Unknown,Unknown,Frogs,Unknown,Unknown,Unknown,Unknown,
Beabull,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,rabbits,puppies,PackSocial,unknown,"being hit by cars, dog fights",wrinkly face,Beagle Bulldog Mix,2 months,domesticated,Omnivore,4-6 puppies,PackSocial,Beagle Bulldog Hybrid,1.0,North America,Unknown,Unknown,Multi-colored,Fur,15 mph,10-12 years,25-45 pounds,"14-18""",12 months,2 months,4-6 puppies,Unknown,mammal,"12-16""",deep howl,laid back,"difficult to train, stubborn, high prey and bite drive",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,rabbits,Unknown,3 months,Unknown,Unknown,Unknown,meat,North America,Unknown,Unknown,wrinkly face and deep howl,
