name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos
Paddlefish,"['Asia', 'North-America']",Animalia,Chordata,Actinopterygii,Acipenseriformes,Polyodontidae,,,Zooplankton,,,,Humans,"Long, paddlelike snout","Mississippi paddlefish, spoonbill",7 days,Rivers,Carnivore,,,paddlefish,1.0,,,,GreyGreen,Smooth,,30 years,60 pounds,4.9 feet,,,,Lampreys,Fish,,,,,,,,,Fresh,,,,,,,,,1,0,0
Parrotfish,['Ocean'],Animalia,Chordata,Actinopterygii,Labriformes,Scaridae,,scaridae,"Algae, invertebrates, and detritus",,School,unknown, Climate change and pollution, The parrot-shaped beak,none,a few days,"Coral reefs, seagrass beds, and coasts",Herbivore,,,parrotfish,,,,,RedBlueGreenOrange,Scales,,up to 20 years,,1-4 feet,,,,Sharks and eels,ray-finned fish,,,,,,,,,Salt,,,,,,unknown,,,1,0,0
Piranha,['South-America'],Animalia,Chordata,Actinopterygii,Characiformes,Characidae,,,,,School,Unknown,Other animals,Strong bony jaws with finely serrated teeth,Caribe or piraya,4 to 6 weeks,"Rivers, floodplains, lakes and reservoirs",Omnivore,,,Piranha,,,Generally found in fast-flowing streams!,,GreyRedBlackMulti-colored,Scales,-3 mph,10 years,Up to 3 to 7 pounds,6 to 8 inches average,,,,"Dolphins, crocodiles, birds, turtles, humans",Characids,,Rounded head and a single row and triangular teeth,,,5000.0,,,"Insects, carrion, fish, crustaceans, worms",Fresh,,,Fish,,,6.5 and 7.8,,,1,0,0
Red-Lipped Batfish,['South-America'],Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,Ogcocephalus,Ogcocephalus darwini,"Smaller fish, shrimp, mollusks, worms, crabs",,Solitary,Unknown,Climate change,Its red lips,Galapagos batfish,,"Reef, soft bottom of the ocean near the shore",Carnivore,,,Red-lipped batfish,2.0,,,,GreyRedWhiteLight-Brown,Scales,,Up to 12 years,Less than 2 pounds,8 inches,,,,None,Fish,,,,,,,,,Salt,,,,,,8.0 to 8.5,,,1,0,0
Redtail Catfish,['South-America'],Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Phractocephalus,Phractocephalus hemioliopterus,"Fish, worms, crabs, shrimp, insects",,Solitary,Unknown,Humans,Red fins,,4 to 5 days,"Rivers, streams",Carnivore,,,Redtailed catfish,1.0,,,,BrownRedBlack,Scales,,10 to 15 years,40 to 90 pounds,3 to 6 feet,,,,Humans,Fish,,,,,,,,,Fresh,,,,,,,,,1,0,0
Salmon,"['North-America', 'Ocean', 'South-America']",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,,Salmonidae,"Worms, squid, crustaceans, and other fish",,Solitary,Millions,Habitat change,The physical transformation in spawning season,,,"Open seas, lakes, or streams",Carnivore,,,Salmon,8.0,,,,BrownRedBlueGreenPurpleSilver,Scales,,Up to 7 years,23 lbs,58 inches,,,,"Bears, seals, killer whales, sharks, otters, kingfishers, eagles, and humans",Ray-finned fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Sardines,['Ocean'],Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,,,,,School,"Pacific Sardine population is measured at 27,547 metric tons",Overfishing as a food source,Silver color and one small dorsal fin,"Pilchard, Sardina",Eggs hatch in three days,Saltwater oceans and seas around the world,Omnivore,,,"European Pilchard, Pacific Sardine, South American Pilchard",21.0,,,,Silver,Scales,,Up to 13 years,3 ounces to 7 pounds,6 to 12 inches,,,,"Dolphins, seals, penguins, sharks, terns, pelicans",Ray-finned fish (Actinopterygii),,,,,,,,Zooplankton and Phytoplankton,Salt,,,,,,,,,1,0,0
Sea Dragon,"['Ocean', 'Oceania']",Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Phycodurus,Phycodurus eques,,,,,,,,,Tropical coastal waters,Carnivore,,,Sea Dragon,,,Inhabits tropical coastal waters of Australia!,,BrownGreyYellowRedBlackWhiteTanGreenOrange,Scales,,2 - 10 years,,20cm - 24cm (10in - 12in),,,,Large Fish,,,Elongated snout and easily camouflaged body,,,250.0,,,"Plankton, Shrimp, Small fish",Salt,,,Plankton,,,6.5 - 8.0,,,1,0,0
Seahorse,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus,,,,,,,,,Shallow tropical waters and coral reefs,Omnivore,,,Seahorse,,,"Males give birth to up to 1,000 offspring!",,,Skin,,2 - 6 years,,2.5cm - 35cm (0.9in - 12in),,,,"Fish, Crabs, Rays",,,Long snout and brooding pouch on the male,,,250.0,,,"Tiny Fish, Brine Shrimp, Plankton",Brackish,,,Tiny Fish,,,7.9 - 8.4,,,1,0,0
Silver Dollar,['South-America'],Animalia,Chordata,Actinopterygii,Characiformes,Characidae,,,Small invertebrates,,School,,"Large -fish, birds, reptiles","Flat, disc-shaped body",,3 days,Tropical well-vegetated rivers,Omnivore,"2,000",,Silver Dollar,16.0,,,,Silver,Scales,,10 years,,6”,,,,"Large fish, birds, reptiles",Fish,,,,,,,,"Bloodworm, Insects, Plants",Fresh,,,Bloodworm,,,5 - 7,,,1,0,0
Skipjack Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Katsuwonus,Katsuwonus pelamis,,,School,Millions,Overfishing,The torpedo-shaped body,"Striped tuna, ocean bonito, mushmouth, and balaya",A few days,Oceans,Carnivore,,,Skipjack tuna,1.0,,,,BlueSilver,Smooth,40 mph,8 - 12 years,7lbs – 40lbs,80cm (32in),,,,"Sharks, whales, humans, seabirds, and other fish",Ray-finned fish,,,,,,,,"Fish, crustaceans, cephalopods, and mollusks",Salt,,,,,,,,,1,0,0
Sockeye Salmon,"['North-America', 'Ocean']",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,"Zooplankton, amphipods, insects",,School,Unknown,Overfishing,Bright red to dirty red coloration during spawning season,"Red salmon, kokanee salmon, blueback salmon",90 - 150 days,Ocean and tributaries,Carnivore,,,Sockeye salmon,1.0,,,,,Scales,,5 years,Up to 9.3 pounds,1.5 - 2.5 feet,5 years,,,"Humans, bears, eagles, wolves, sharks, lampreys, and marine mammals",Salmon,,,,90 to 150 days,,,,,,,,,,,7.5,,,1,0,0
Spotted Gar,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus oculatus,,,Solitary,Unknown,Water pollution,"Long, cylindrical body",Gar,10-14 days,6.0-8.0,Carnivore,,,Spotted gar,1.0,,,,BlackDull Olive,Scales,,216 months,10lbs,39in - 59in,,,,Other types of gars,Lepisosteidae,,,,,,,,"Minnows, mosquito larvae, blue crabs, larger fish",Fresh,,,,,,6.0-8.0,,,1,0,0
Stargazer Fish,"['North-America', 'Ocean', 'Oceania']",Animalia,Chordata,Actinopterygii,Trachiniformes,Uranoscopidae,Uranoscopus,Uranoscopus scaber,"Crustaceans, crabs, small fish",,Solitary,Unknown,Diseases and parasites,Eyes on top of its head,Monkfish,2 months,,Omnivore,,,Stargazer fish,4.0,,,,WhiteGreenDark Brown,Scales,,Diseases and parasites,Eyes on top of its head,Monkfish,2 months,Aggressive,,,Perciformes,These fish suck prey in like a vacuum or use a tentacle-like appendage,These fish suck prey in like a vacuum or use a tentacle-like appendage,,,,Yes,High,,,,,,,,,An organ on their heads helps these fish deter predators and disable prey with shocks,,1,0,0
Swai Fish,['Asia'],Animalia,Chordata,Actinopterygii,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon hypophthalmus,"Crustaceans, small fish, and plants",,School,,Fishing,Shark-style dorsal fin,"Tra fish, iridescent shark, pangasius",,Rivers,Omnivore,,,Iridescent shark,1.0,,,,SilverBeige,Scales,,,50 - 100 lbs,2-4 ft,,,,,Pangasiidae,,,,,,,,,Fresh,,,,,,,,,1,0,0
Tang,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,,,,School,,Loss of coral reefs,The brightly colored body,Surgeonfish or unicornfish,A day or two,Coral reefs and open ocean,Omnivore,,,Tang,75.0,,Found around shallow coral reefs!,,YellowRedBlueBlackWhiteOrangePurpleSilverBlack-Brown,Scales,,Up to 30 years,Up to 1 or 2 pounds,Up to 3 feet,,,,"Groupers, tuna, snappers, and barracuda",Ray-finned fish,,Pointed snout and razor-sharp scalpel at the base of their tail,,,40000.0,,,"Plankton, algae, and sometimes meat",Salt,,,Algae,,,,,,1,0,0
Tarpon,['Ocean'],Animalia,Chordata,Actinopterygii,Elopiformes,Megalopidae,Megalops,,Fish and large invertebrates,,School,,"Fishing, river damming, pollution","Large, silvery scales on sides","Silver king, grand ecaille, sabalo real",,"Bays, mangrove lagoons, coastal waters",Carnivore,,,Tarpon,2.0,,,,BlueBlackGreenSilver,Scales,,Males-30+ years; females-50+ years,100 pounds+,6 feet,,,,"Sharks, porpoises, alligators",Fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Tetra,['South-America'],Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Paracheirodon,Paracheirodon Axelrodi,,,,,,,,,Clearwater streams of South America,Omnivore,,,Tetra,,,Native to the freshwater streams of South America!,,RedBlueBlackWhiteSilver,Scales,,2-5 years,,,,,,"Fish, Eels, Crustaceans",,,,,,130.0,,,"Algae, Brine Shrimp, Plankton",Fresh,,,Algae,,,5.5-7.5,,,1,0,0
Tire Track Eel,['Asia'],Animalia,Chordata,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus,Mastacembelus armatus,"Worms, krill, plankton",,Solitary,Unknown,Habitat loss and being captured for the pet trade,Design of splotches on its skin resembles tire tracks,"Zig-zag eel, tire-track spiny eel, or marbled spiny eel",3 - 4 days,"Rivers, marshes, inland areas",Carnivore,,Solitary,Eel,93.0,,,,BrownGreyTan,Skin,,8 - 18 years,3 - 5 pounds,0.5 - 2.4 feet,,,,"Humans, sea birds, larger fish",Synbranchiformes,,,,,,,,,Fresh,,,,,,6.8 - 7.2,,,1,0,0
Toadfish,['Ocean'],Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,,,"Sea worms, crustaceans, mollusks, other fish",,Territorial,Unknown,"Hunting/trapping, pollution",Toadlike appearance,"Frogfish, dogfish",Varies,Worldwide,Carnivore,,,Frogfish,83.0,,,,Brown,Smooth,,3-24 years,0.25-5.1lbs (110g-2.3kg),7.5-57cm (3-22in),,,,"Marine mammals, sea turtles, other fish",Vertebrate,,,,,,,,,Salt,,,,,,,,,1,0,0
Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,,,"Fish, crustaceans, cephalopods, and mollusks",,School,Millions,Overfishing,"The metallic blue, silvery color",Tunny,A few days,Oceans,Omnivore,,,Tuna,15.0,,,,YellowBlueBlackWhiteSilver,Smooth,50 mph,Up to 40 years,"Up to 2,000lbs",Up to 4m (14ft),,,,"Sharks, humans, whales",Ray-finned fish,,,,,,,,,,,,,,,,,,1,0,0
Wahoo Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Acanthrocybium,Acanthocybium solandri,"Fish, squid, crustaceans",,SolitarySchool,"Not evaluated, but their conservation status is listed as Least Concern",Predators,Its shining silver and iridescent blue coloration,"Ono, hoo, Kingfish, Queenfish, jack mackerel, barracuda, many others",Unknown,,Carnivore,,,Wahoo,,,,,,,,,,,,,,Sharks and rays,Fish,,,,,,,,,,,,,,,,,,1,0,0
Walking Catfish,['Asia'],Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,Clarias batrachus,"Mollusks, fish, insects, plants, and plankton",,Solitary,,Overfishing,The four pairs of long barbels,Air-breathing catfish,24 hours,"Rivers, streams, swamps, and ponds",Omnivore,,,Walking Catfish,1.0,,,,BrownGreyWhite,Skin,,Unknown,2lbs,8cm - 47m (3in - 18in),,,,"Crocodiles, birds, and large mammals",Fish,,,,,,,,,Fresh,,,,,,Up to 10,,,1,0,0
Walleye Fish,['North-America'],Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Sander,Sander vitreus,"Fish, insects",,School,Unknown,Climate change,"Large, glassy eyes","Yellow pike, yellow pickerel",12-30 days,"Lakes, streams, rivers",Carnivore,,Nocturnal,Walleye,1.0,,,,WhiteGoldGreen,Scales,50 mph,240 months,20lb,0.7m-0.9m (2.2ft-2.8ft),,,,"Humans, birds, fish",Perciforme,,,,,,,,,Fresh,,,,,,6.0-8.0,,,1,0,0
Wels Catfish,['Europe'],Animalia,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,Silurus glanis,"Snails, worms, crustaceans, insects, fish, and birds",,Solitary,Unknown,Overfishing,The barbels (whiskers) on the face,Sheatfish,3-10 days,rivers and lakes,Omnivore,,,wels catfish,1.0,,,,BrownGreyWhiteGreen,,,up to 80 years,Up to 500 lbs,Up to 10 feet,,,,Humans and pike,ray-finned fish,,,,,,,,,Fresh,,,,,,unknown,,,0,0,1
Wrasse,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,Labridae,,,,,,,,,Coral reefs and rocky shores,Carnivore,,,Wrasse,,,There are more than 500 different species!,,BrownGreyYellowBlueBlackWhiteGreenOrange,Scales,,3 - 10 years,,11cm - 250cm (4in - 98in),,,,"Sharks, Lionfish, Barracuda",,,"Large, thick lips and protractile mouths",,,1000.0,,,Small Fish and Invertebrates,Salt,,,Fish,,,5 - 7,,,1,0,0
X-Ray Tetra,['South-America'],Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Pristella,Pristella maxillaris,"Worms, Insects, Small Crustaceans",Fry,School,Abundant,Water Pollution,,"Golden Pristella Tetra, Water Goldfinch",,Amazon coastal waters,Omnivore,,Diurnal,X-Ray Tetra,1.0,"Brazil, Guiana, Guyana, and Venezuela","Yellow, black and white striped fins!",Fish,YellowBlackWhiteSilver,Scales,,2 - 5 years,,,5 - 8 months,,,"Larger Fish, Frogs, Birds",,3.2cm - 5cm (1.6in - 1.9in),Striped fins and translucent skin,,24 hours,,,,,Brackish,Immediately,350,,,,6.0 - 7.0,,,1,0,0
Yellowfin Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus albacares,,,School,Millions,Overfishing,The long yellow-colored secondary fins,Ahi,A few days,Oceans,Carnivore,,,Yellowfin tuna,1.0,,,,YellowBlueSilver,Smooth,50 mph,7 or 8 years,Up to 450lbs,Up to 2m (7ft),,,,"Sharks, whales, marlins, seabirds, humans, and other fish",Ray-finned fish,,,,,,,,"Fish, crustaceans, cephalopods, and mollusks",Salt,,,,,,,,,1,0,0
Zebra Pleco,['South-America'],Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypancistrus,Hypancistrus zebra,"Algae, detritus, and small organic matter",,Solitary,Unknown,Dam construction and poaching.,,Imperial pleco,1 week,Rivers,Omnivore,7-15,,Zebra Pleco,1.0,Brazil,,,BlackWhite,Boney Plates,,10-15 years,,,,,,Larger fish,,,,Passive and shy.,,,,,,Fresh,,,,Brazil,,6-7.5 pH,,,1,0,0
Bichir,['Africa'],Animalia,Chordata,Actinopterygii,Polypteriformes,Polypteridae,Polypterus,,"Crustaceans, insects, vertebrates, and small fish",,School,unavailable,Environmental damage,"Small, ray-like fins along an elongated back","Dragon fish, dinosaur eel",3-4 days,Rivers and lakes,Carnivore,,,Bichir,13.0,,,,BrownGreyGreen,Scales,,15-20 years,5 - 10 lbs,11 - 30 inches,,,,,Polypterid,,,,,,,,,Fresh,,,,,,,,,1,0,0
Blobfish,['Ocean'],Animalia,Chordata,Actinopterygii,Scorpaeniformes,Psychrolutidae,Psychrolutes,Psychrolutes marcidus,"Crustaceans, anything it finds",,,,,,Sculpin,,Deep ocean waters,Omnivore,,Sedentary,Blobfish or Smooth-Head Blobfish,,"Oceans near Australia, New Zealand, Japan, and California",One of the ugliest creatures in existence!,Fish,GreyWhitePink,Hair,,,9kg (20 lbs),30.48cm – 71.12cm (12in-28in),,,,Humans,,,,,,,,,,,,,,,,,,,1,0,0
Bluegill,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus,"Insects, small crustaceans",,School,Unknown,Recreational fishing,Black spot on its dorsal fin,"Bluegill sunfish, Bream",3 days,"Lakes, streams",Carnivore,,,Bluegill,38.0,,,,BrownYellowRedBlueBlackGreenOrange,Scales,,4-6 years,1 - 2.6lbs,7 - 16 inches,,,,"Birds, raccoons, large fish, humans",Perciformes,,,,,,,,,Fresh,,,,,,7.0-7.5,,,1,0,0
Bonito Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Sarda,Sarda,Sardines and anchovies or other small fish,,School,Unknown due to this fish’s frequent migration patterns.,Overfishing for consumption,Tuna-like appearance with stripes and varying coloration,"Striped Bonito, Bunny, Common Bonito, Horse Mackerel, Little Bonito, Skipjack",Eggs take 3 days to hatch.,Worldwide from the open ocean to nearshore areas with kelp accumulations,Carnivore,,,,4.0,,,,GreyBlackSilver,Scales,40 mph,6 to 8 years,Up to 25 pounds,Up to 48 inches,,,,"Blue fin tuna, swordfish, marlins and other large fish",Schooling fish,,,,,,,,,Salt,,,Other small fish and invertebrate ocean life,,,,,,1,0,0
Bowfin,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Amiiformes,Amiidae,Amia,Amia calva,"Crustaceans, insects, amphibians, and other fish",,Solitary,Unknown,Loss of habitat,Eyespot,"Mudpike, mudfish, dogfish, grinnel fish, and swamp trout",8-10 days,"Lakes, ponds, wetlands, rivers, and streams",Carnivore,,,Bowfin,1.0,,,,BrownBlackGreen,Scales,,10 to 12 years on average,Up to 21lbs,51cm – 109cm (20in – 43in),,,,"Alligators, other bowfins, and humans",Ray-finned fish,,,,,,,,,Fresh,,,,,,6-7.5,,,1,0,0
Boxfish,['Ocean'],Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Ostracion,Ostracion cubicus,"Algae, worms, small fish",,Solitary,unknown,Being captured as exotic pets,Box-like body shape,"Cowfish, trunkfish",,Ocean,Omnivore,,,Box fish,24.0,,,,BrownYellowBlueBlackWhite,Scales,,,,,,,,"Large size fish, sharks, humans",Tetraodontiformes,,,,,,,,,Salt,,,,,,8.1-8.4,,,1,0,0
Bull Trout,['North-America'],Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus confluentus,Invertebrates and fish,,,"500,000 to one million",Damage to habitat,Light spots on a dark background,,4 to 5 months,"Clean, cold water",Carnivore,,,Bull Trout,1.0,,,,YellowRedOrangePink,Scales,,10 to 12 years,30 lbs,37 inches,,,,Otters and osprey,Fish,,,,,,,,,Salt,,,,,,Less than 7,,,1,0,0
Butterfly Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,Chaetodontidae,Small invertebrates and plant matter,,Solitary/School,unknown,Destruction of coral reefs,Bright colors,Butterflyfish,30 hours,"Coral reefs, mudflats, seagrass beds and lagoons",Omnivore,,,Butterfly fish,115.0,,There are more than 100 different species!,,YellowRedBlueBlackWhiteOrangeSilver,Scales,,5-10 years,20-80g,Up to 12 inches,,,,"Fish, Eels, Sharks",Ray-finned fish,,Elongated nose and bright colours,,,200.0,,,"Plankton, Coral, Crustaceans",Salt,,,Plankton,,,8.1 - 8.6,,,1,0,0
Ribbon Eel,"['Africa', 'Asia', 'Oceania']",Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Rhinomuraena,Rhinomuraena quaesita," Crustaceans, small fish",,Solitary,unknown,Caught as exotic pets,Brightly colored body,"Ribbon moray, Leaf-nosed moray, Bernis eel",unknown,coral reefs,Carnivore,,,Eel,223.0,,,,YellowBlueBlack,Skin,,up to 20 years,,,,,,"Large fish, sea birds",Anguilliformes,,,,,,,,,Salt,,,,,,8.1-8.4,,,1,0,0
Cichlid,"['Africa', 'Central-America', 'South-America']",Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Herotilapia,Herotilapia multispinosa,"Phytoplankton, zooplankton, mollusks, and other fish",,SolitarySchool,Unknown,Habitat changes,The exceptionally bright and varied colors,,A few days or weeks,Lakes and rivers,Omnivore,,,Cichlid,,,There are more than 2 000 known species!,,YellowRedBlueBlackWhiteGreenOrangeSilver,Scales,,Up to 8 years,From less than an ounce to more than 7 pounds,Up to 3 feet,9 months old,,,Humans and other fish,Ray-finned fish,,,,,200.0,,High,,Fresh,,,Algae,,,7.8-8.5 on average,,,1,0,0
Clownfish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,,,,School,,Destruction of coral reef habitats,,"Anemonefish, false clownfish, false percula",6 to 8 days,Tropical coral reefs,Omnivore,,,Clownfish,27.0,,Also known as the anemonefish!,,YellowRedBlackWhiteOrange,Scales,,6 to 10 years,250 grams,10cm - 18cm (4in - 7in),,,,Larger fish,Fish,,"Coloring and three wide, white bands",,,2000.0,,,"Zooplankton, phytoplankton",Salt,,,Algae,,,7.9 - 8.4,,,1,0,0
Codfish,['Ocean'],Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,,"Smaller fish, shellfish, crustaceans, worms",,School,Unknown,Humans,Beloved food around the world,"Cod, codling",8-23 days,Pacific and Atlantic oceans,Carnivore,,,"Cod, codfish",3.0,,,,GreenGrey-Brown,Scales,,15-25 years,33-212lbs (15-96kg),77-200cm (30-79in),,,,Humans,Groundfish,,,,,,,,,Salt,,,,,,,,,1,0,0
Conger Eel,['Ocean'],Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,Conger,,"Crustaceans, small fish",,,,,"Long, thin body and snout","poison eel, conger, dog eel, southern conger, grey eel",,oceanic,Carnivore,,,conger eel,14.0,,,,BrownGreyBlackWhite,Smooth,,20 years,"10 - 160 lbs average, 350 lbs largest","5 - 6 feet average, 9.8 feet largest",,,,,,,,,,,,,,Salt,,,,,,,,,1,0,0
Discus,['South-America'],Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Symphysodon,,Small invertebrates and plant matter,Fry,School,Unknown,Habitat change,Bright colors,Pompadour fish,3 to 4 days,"Deep, slow-moving waters",Omnivore,,Diurnal,Discus,3.0,"Brazil, Columbia and Peru",One of the only schooling Cichlids!,Fish,BrownYellowRedBlueBlackGreenOrange,Scales,,10 to 15 years in captivity,150g – 250g,12.3cm – 15.2cm (4.8in – 6in),1 - 3 years,,,"Turtles, birds, and other fish",Ray-finned fish,,,,10 days,,,,,Fresh,2 - 3 weeks,150,,,,6 - 7,,,1,0,0
Electric Eel,['South-America'],Animalia,Chordata,Actinopterygii,Gymnotiformes,Gymnotidae,Electrophorus,Electrophorus Electricus,"Fish, insects, small vertebrates, crustaceans",,,Unknown,Humans,Slimy mucus with three organs to generate current.,"Arimna (Venezuela), “numb eel” (Europe)",Unknown,Murky water,Carnivore,,,Electric eel,3.0,,,,BrownGreyYellowOrange,Skin,5 mph,"Unknown in wild, 10-22 years in captivity",45+ lbs.,Up to 8+ feet,,,,None,Fish,,,,,,,,,,,,,,,,,,1,0,0
Rockfish,['Ocean'],Animalia,Chordata,Actinopterygii,Scorpaeniformes,,,,"Shrimp, crab, and greenlings",,School,More than 400 million fishes,,Vibrant colors,,Can be several days to several months,"Bering Sea, North Pacific, and the Aleutian Islands",Omnivore,,,Rockfish,100.0,,,,YellowRedBlackGreenOrange,Scales,,Up to 120 years,770 grams to 5.3 Kgs,"8 to 40 inches, up to three feet",,,,"Harbor seals, salmonids, and lingcod",Fish,,,,,,,,,Salt,,,"Shrimp, crab, and greenlings",,,,,,1,0,0
Scorpion Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,Scorpaenidae,"Coral reef, snails, and small fishes",,Solitary,Not known,"Sharks, rays, and large snappers",Venom mucous covered sharp spines,,3 to 18 months,"Indian Ocean, Pacific Ocean, and Indonesia",Omnivore,,,Scorpionfish,198.0,,There are more than 200 recognised species!,,BrownYellowRedOrange,Scales,,15 years,3.4 pounds,8 inches to 20 inches,,,,"Sharks, snappers, and rays",Fish,,,,,6000.0,,,,Salt,,,"Coral reefs, small fishes, snails",,,8.1 - 8.4,,,1,0,0
Sucker Fish,[],Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,,,"Algae, zooplankton, insects, small invertebrates, crustaceans, and plants",,,,Pollution and dams,,,Average of 10 days to eggs hatching,Freshwater streams and lakes,Omnivore,,,,79.0,"United States, Russia, and China",Commonly found throughout America!,,,Hair,,Bigmouth buffalo can live up to 112 years!,Maximum of 80 pounds (bigmouth buffalo),1 to 3 feet,,,,"Trout, bass, catfish, and walleye",,,,,,,,,,Fresh,,,,,,,,,1,0,0
Telescope Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Aulopiformes,Giganturidae,Gigantura,,Plankton,,Solitary/School,Unknown,Carnivorous fish life,Protruding eyes,"Common trumpeters, real bastard trumpeters",,Deep sea depths of world oceans,Omnivore,,,telescope fish,2.0,,,,BlueGreen,Scales,,6 to 25 years,,4 to 6 inches,,,,Shark and other large fish,,,,,,,,,,Salt,,,"Other fish life, particularly plankton",,,,,,1,0,0
Drum Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,Sciaenidae,"Mollusks, insects, and fish",,Solitary,Unknown,Habitat changes,The croaking noise,Drum or croaker,A few days,,Carnivore,,,Drum fish,275.0,,,,BrownRedBlackWhiteSilver,Scales,,Up to 50 years,Up to 225 pounds,Up to 6.6 feet,,,,"Birds, fish, and humans",Fish,,,,,,,,,,,,,,,,,,1,0,0
Flounder,['Ocean'],Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys,"Shrimp, crabs, and other fish",,Solitary,Perhaps some 30 million,Overfishing,The flat body,Flatfish,A few weeks,"Coastal waters near docks, bridges, or reefs",Carnivore,,,Flounder,,,A flat fish found in the Atlantic and Pacific!,,BrownBlueWhiteTanGreenOrange,Scales,,Three to 10 years on average,Up to 22 pounds,Up to 37 inches,,,,"Sharks, eels, and humans",Fish,,,,,,,,,Salt,,,Small Fish,,,6.5 - 8.0,,,1,0,0
